,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision
local_authority_district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_road_class,,-0.02566152741332629,0.0403995995542256,-0.023517856318304373,0.04045610571210612,0.019669762483413667,0.010583469159235014,-0.12484829042662843,-0.08562358031514822,0.0004308108441794243,,1.0,-0.2588929792798827,0.28853771151191515,-0.32215683975984527,0.029610319809363295,0.08630387481295614,0.10400754259619496,-0.054896149236458,-0.008402024672213234,-0.0742211460878383,-0.043958915670465636,0.0072474440621997805,-0.003428014095987757,0.007081491381337047,0.013138637518526872,-0.18126189929297926,0.05227178980361884,0.13367331530993656,0.07328699577359576
first_road_number,,-0.16707559333960162,0.07595501404565265,-0.16555071005028954,0.07700075024963972,0.00929005557364385,-0.025915448105226658,-0.003223853781406649,0.015205232006184583,0.00367124331710985,,-0.2588929792798827,1.0,-0.013773031758457845,-0.013624151692790201,-0.03138359313923334,0.0021381836244713827,0.02241943072872817,0.12105566206444165,-0.037088092995774515,0.020953140434079608,0.009800245460904869,-0.01257202134047862,-0.017965073451413842,-0.025627329455320647,-0.029580906011841882,0.006391777515138853,-0.03963998245804744,-0.01597021428025038,0.03430067740526174
road_type,,-0.0009532158931220395,0.0076101203400939016,-0.0009984839721757699,0.007423354248751718,-0.016050565279566803,-0.01620008250855867,-0.060878684914785756,-0.025668970556104183,0.0060188995912833845,,0.28853771151191515,-0.013773031758457845,1.0,-0.18442124978336186,0.16169727212397692,0.034335742372152846,0.047898002190980435,-0.0940187805191228,0.14136461421609617,0.05811265522268747,-0.01309056829046748,0.08751385048501117,0.13672382539135383,0.13562576120994418,0.14252224130197994,-0.05596847051740906,0.07230483382073911,0.06938809964760054,-0.003896469052368116
speed_limit,,-0.14231285034233818,0.10447649555381795,-0.14095443830473342,0.10423634943481817,0.2977539292025207,-0.10276698686096805,0.08929862776777094,0.17774402990397867,-0.007522649581180439,,-0.32215683975984527,-0.013624151692790201,-0.18442124978336186,1.0,-0.16682209626711086,-0.29439652207420325,-0.32620872815182744,-0.02044418806712309,-0.16609031139697736,-0.25938065711047803,0.08429196708580959,-0.056274422924492896,-0.019830980202214563,-0.09315530518710474,-0.09207509325515997,0.6776762762364895,-0.23861810895711802,-0.24518588751983605,0.16912578845328166
junction_detail,,0.12828486186909147,-0.10015383326878191,0.1264314556270901,-0.10041408198959277,-0.1925770103111547,0.07947468713098384,0.011286784363305963,-0.05187319172084415,0.005577099920992964,,0.029610319809363295,-0.03138359313923334,0.16169727212397692,-0.16682209626711086,1.0,0.4748657578390861,0.26709648096781424,0.0036754033169006674,0.3920084137296766,0.301963092813219,-0.01914719511826977,0.15471159303636237,0.23439445309728596,0.31570633375682167,0.32157084023793364,-0.1421658561940028,0.277124108706954,0.06683263901275108,-0.1618320587976878
junction_control,,0.09838156924674678,-0.0925946688874345,0.0978057822835654,-0.09237411456016693,-0.1748180070269637,0.0824524638831509,0.041047444448933906,-0.061082202156936674,0.0030229389368450254,,0.08630387481295614,0.0021381836244713827,0.034335742372152846,-0.29439652207420325,0.4748657578390861,1.0,0.8771602484128677,0.1332067600357904,0.19001869165563476,0.1950070446312206,-0.0552037038676653,0.0659514500152151,0.10839908400583459,0.13922325385777673,0.13836422780921234,-0.23978029820917107,0.15429338178190202,0.11587080630356739,-0.17383306773348864
second_road_class,,0.07645815952084313,-0.07197731222967267,0.07629998822663434,-0.07168039019688068,-0.15142937909027762,0.06824490234015591,0.035656488865877294,-0.05240866263793512,-0.0004872360547091313,,0.10400754259619496,0.02241943072872817,0.047898002190980435,-0.32620872815182744,0.26709648096781424,0.8771602484128677,1.0,0.032941744074456485,0.10141960978833381,0.16682763464454936,-0.058035334123104604,0.028747591563390927,0.031988346179688286,0.05705039629551458,0.05349139870154066,-0.2763200423079638,0.09662948433604762,0.12768625239693102,-0.13552315451255545
second_road_number,,-0.07401060133084408,0.04791391833781883,-0.07358423714648094,0.04845286929993184,-0.012413811088151011,0.013284937307116332,0.011047623236884243,0.00942587908433283,0.00032276774218663746,,-0.054896149236458,0.12105566206444165,-0.0940187805191228,-0.02044418806712309,0.0036754033169006674,0.1332067600357904,0.032941744074456485,1.0,-0.009882463179538196,0.06710903713313614,-0.0006532108055775677,-0.005287763658877108,-0.011401668186507438,-0.01116522524980583,-0.014159200315849085,-0.022408513128325386,0.0022347798745907125,-0.007079099098176796,0.010402806378967809
pedestrian_crossing_human_control,,0.15774875765442353,-0.09796158140721227,0.15587978365229085,-0.09841057416074944,-0.21736246485114538,0.09561661962128627,-0.00392200879883576,-0.06098636833687849,0.006174822297766284,,-0.008402024672213234,-0.037088092995774515,0.14136461421609617,-0.16609031139697736,0.3920084137296766,0.19001869165563476,0.10141960978833381,-0.009882463179538196,1.0,0.6044303534280483,0.007891644783353599,0.23433854109460583,0.3326438677448614,0.6759542649549193,0.682464365200634,-0.14799928329916867,0.41325177150768355,0.07517569108988897,-0.15882226569981542
